Elevation,Azimuth,0,1,2,3,4,5,6,7,
16.478,7.343,1,4,2,0,4,4,2,0,
12.851,6.788,0,5,4,2,3,5,4,2,
9.636,6.283,0,7,6,5,3,7,6,5,
5.746,8.606,0,9,8,7,1,9,8,7,
2.488,8.093,0,11,10,10,1,11,10,10,
-1.244,7.502,0,13,13,13,1,13,13,13,
-4.451,8.429,0,14,15,15,0,14,15,15,
-7.879,7.865,0,16,17,18,0,16,17,18,
-12.673,7.016,0,18,20,22,0,18,20,22,
-16.933,6.385,0,21,23,25,0,21,23,25,
-20.097,7.304,1,23,25,28,0,23,25,28,
-24.615,6.530,1,25,28,31,0,25,28,31,
-29.078,8.998,3,28,31,35,0,28,31,35,
-34.281,8.098,3,30,34,38,0,30,34,38,
-39.192,9.091,4,32,37,41,0,32,37,41,
-44.955,8.093,4,34,39,44,0,34,39,44,
14.368,-1.908,0,4,2,0,3,5,3,1,
11.140,-2.345,0,6,4,3,3,7,5,4,
7.480,-2.778,0,8,7,6,3,9,8,7,
4.420,-2.059,0,9,9,8,2,10,10,9,
1.117,-2.612,0,11,11,11,2,12,12,12,
-2.877,-5.726,0,13,14,14,2,15,15,15,
-6.557,-3.553,0,15,15,16,0,16,17,17,
-10.135,-1.220,0,17,18,19,0,18,19,20,
-15.087,-2.703,0,19,21,23,0,20,22,24,
-18.168,-2.247,1,21,23,26,0,22,24,27,
-22.623,-3.180,1,23,26,29,0,24,27,30,
-27.353,-4.222,1,25,29,32,0,26,30,33,
-31.025,-4.086,2,27,31,35,0,28,32,36,
-36.248,-1.076,2,30,34,38,0,30,35,39,
-41.436,6.742,3,32,37,42,0,32,37,42,
14.488,15.821,0,5,3,1,3,4,2,0,
11.063,18.540,0,6,4,3,1,5,3,2,
7.453,17.831,0,8,7,6,1,7,6,5,
3.812,17.149,0,10,10,9,1,9,9,8,
0.549,16.633,0,12,12,12,1,11,11,11,
-2.857,20.343,0,14,14,14,0,12,13,13,
-6.473,19.346,0,16,17,17,0,15,15,16,
-10.030,16.034,0,18,19,20,0,17,18,19,
-14.341,17.694,1,20,22,24,0,19,21,23,
-18.046,17.205,1,22,24,27,0,21,23,26,
-23.352,18.130,2,25,28,31,0,24,27,30,
-27.438,19.729,3,27,31,34,0,26,30,33,
-31.863,19.310,3,29,33,37,0,28,32,36,
-36.431,16.936,4,31,36,40,0,31,35,39,
-42.685,8.522,4,33,38,43,0,33,38,43,
,,,,,,,,,,
"zero is last antenna to fire, and delay indicates how many samples in the past the other antennas are added",,,,,,,,,,
